symbol,isin,name,face_value,coupon_rate,coupon_frequency,maturity_date,close_price,description
724GS2055,IN0020250075,GOVERNMENT OF INDIA 36320 GOI 18AG55,100,0.0724,2,2055-08-18,102,GOVERNMENT OF INDIA 36320 GOI 18AG55 7.24 FV RS 100
737GS2028,IN0020230101,GOVERNMENT OF INDIA 33536 GOI 23OT28,100,0.0737,2,2028-10-23,104,GOVERNMENT OF INDIA 33536 GOI 23OT28 7.37 FV RS 100
709GS2054,IN0020240118,GOVERNMENT OF INDIA 34733 GOI 05AG54,100,0.0709,2,2054-08-05,100.5,GOVERNMENT OF INDIA 34733 GOI 05AG54 7.09 FV RS 100
698GR2054,IN0020240175,GOVERNMENT OF INDIA 35342 GOI SGRB 16DC54,100,0.0698,2,2054-12-16,97.2,GOVERNMENT OF INDIA 35342 GOI SGRB 16DC54 6.98 FV RS 100
668GS2040,IN0020250042,GOVERNMENT OF INDIA 36185 GOI 07JL40,100,0.0668,2,2040-07-07,99.8,GOVERNMENT OF INDIA 36185 GOI 07JL40 6.68 FV RS 100
738GS2027,IN0020220037,GOVERNMENT OF INDIA 31719 GOI 20JU27,100,0.0738,2,2027-06-20,105.82,GOVERNMENT OF INDIA 31719 GOI 20JU27 7.38 FV RS 100
68GS2060,IN0020200187,GOVERNMENT OF INDIA 29367 GOI 15DC60,100,0.068,2,2060-12-15,96.2,GOVERNMENT OF INDIA 29367 GOI 15DC60 6.80 FV RS 100
723GS2039,IN0020240027,GOVERNMENT OF INDIA 34227 GOI 15AP39,100,0.0723,2,2039-04-15,102.55,GOVERNMENT OF INDIA 34227 GOI 15AP39 7.23 FV RS 100
732GS2030,IN0020230135,GOVERNMENT OF INDIA 33618 GOI 13NV30,100,0.0732,2,2030-11-13,104.58,GOVERNMENT OF INDIA 33618 GOI 13NV30 7.32 FV RS 100
897GS2030,IN0020110055,GOVERNMENT OF INDIA 11007 GOI 05DC30,100,0.0897,2,2030-12-05,111.8,GOVERNMENT OF INDIA 11007 GOI 05DC30 8.97 FV RS 100
654GS2032,IN0020210244,GOVERNMENT OF INDIA 31280 GOI 17JN32,100,0.0654,2,2032-01-17,102.3,GOVERNMENT OF INDIA 31280 GOI 17JN32 6.54 FV RS 100
754GS2036,IN0020220029,GOVERNMENT OF INDIA 31636 GOI 23MY36,100,0.0754,2,2036-05-23,106.37,GOVERNMENT OF INDIA 31636 GOI 23MY36 7.54 FV RS 100
75AP32,IN1020240066,STATE DEVELOPMENT LOAN 34245 AP 24AP32,100,0.075,2,2032-04-24,-,STATE DEVELOPMENT LOAN 34245 AP 24AP32 7.5 FV RS 100
86GS2028,IN0020140011,GOVERNMENT OF INDIA 16937 GOI 02JU28,100,0.086,2,2028-06-02,108.4,GOVERNMENT OF INDIA 16937 GOI 02JU28 8.60 FV RS 100
657GS2033,IN0020160100,GOVERNMENT OF INDIA 18957 GOI 05DC33,100,0.06570000000000001,2,2033-12-05,98.9,GOVERNMENT OF INDIA 18957 GOI 05DC33 6.57 FV RS 100
664GS2035,IN0020210020,GOVERNMENT OF INDIA 30244 GOI 16JU35,100,0.0664,2,2035-06-16,98,GOVERNMENT OF INDIA 30244 GOI 16JU35 6.64 FV RS 100
703TN51,IN3120210072,STATE DEVELOPMENT LOAN 30454 TN 02JU51,100,0.0703,2,2051-06-02,-,STATE DEVELOPMENT LOAN 30454 TN 02JU51 7.03 FV RS 100
761GS2030,IN0020160019,GOVERNMENT OF INDIA 18445 GOI 09MY30,100,0.0761,2,2030-05-09,106.65,GOVERNMENT OF INDIA 18445 GOI 09MY30 7.61 FV RS 100
746MH33,IN2220230113,STATE DEVELOPMENT LOAN 33398 MH 13SP33,100,0.0746,2,2033-09-13,99,STATE DEVELOPMENT LOAN 33398 MH 13SP33 7.46 FV RS 100
763GS2059,IN0020190057,GOVERNMENT OF INDIA 21628 GOI 17JU59,100,0.07629999999999999,2,2059-06-17,103.51,GOVERNMENT OF INDIA 21628 GOI 17JU59 7.63 FV RS 100
591GS2028,IN0020250034,GOVERNMENT OF INDIA 36133 GOI 30JU28,100,0.0591,2,2028-06-30,101.6,GOVERNMENT OF INDIA 36133 GOI 30JU28 5.91 FV RS 100
773GS2034,IN0020150051,GOVERNMENT OF INDIA 17916 GOI 19DC34,100,0.07730000000000001,2,2034-12-19,-,GOVERNMENT OF INDIA 17916 GOI 19DC34 7.73 FV RS 100
718GS2033,IN0020230085,GOVERNMENT OF INDIA 33298 GOI 14AG33,100,0.0718,2,2033-08-14,105.4,GOVERNMENT OF INDIA 33298 GOI 14AG33 7.18 FV RS 100
726GS2029,IN0020180454,GOVERNMENT OF INDIA 21176 GOI 14JN29,100,0.0726,2,2029-01-14,104.5,GOVERNMENT OF INDIA 21176 GOI 14JN29 7.26 FV RS 100
692AP41,IN1020210416,STATE DEVELOPMENT LOAN 31000 AP 01DC41,100,0.0692,2,2041-12-01,-,STATE DEVELOPMENT LOAN 31000 AP 01DC41 6.92 FV RS 100
784TN52,IN3120220048,STATE DEVELOPMENT LOAN 31738 TN 22JU52,100,0.0784,2,2052-06-22,107.17,STATE DEVELOPMENT LOAN 31738 TN 22JU52 7.84 FV RS 100
707TN38,IN3120210270,STATE DEVELOPMENT LOAN 31192 TN 22DC38,100,0.0707,2,2038-12-22,99.45,STATE DEVELOPMENT LOAN 31192 TN 22DC38 7.07 FV RS 100
683GS2039,IN0020080050,GOVERNMENT OF INDIA 09001 GOI 19JAN39,100,0.0683,2,2039-01-19,-,GOVERNMENT OF INDIA 09001 GOI 19JAN39 6.83 FV RS 100
773GJ32,IN1520220089,STATE DEVELOPMENT LOAN 31889 GUJ 10AG32,100,0.07730000000000001,2,2032-08-10,-,STATE DEVELOPMENT LOAN 31889 GUJ 10AG32 7.73 FV RS 100
